District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,Digital Health Records,Ministry of ICT,4830,93.7,2023,September
Rusizi,Digital Health Records,Ministry of Health,4594,75.45,2024,November
Rwamagana,eTax Portal,National Land Authority,2447,75.45,2021,August
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2021,January
Kicukiro,Land Registration Portal,National Land Authority,2447,75.45,2024,January
Musanze,Irembo Services,Ministry of Health,2447,75.45,2022,December
Nyamagabe,eTax Portal,Ministry of Health,2447,75.45,2023,June
Bugesera,Digital Health Records,Ministry of Health,820,91.3,2023,Unknown
Karongi,Irembo Services,Immigration Department,4413,81.8,2023,February
Nyamagabe,eTax Portal,Immigration Department,2447,52.9,2022,Unknown
Nyanza,E-Visa Service,Ministry of ICT,2447,75.45,2023,July
Musanze,E-Visa Service,Ministry of Health,4908,85.4,2023,December
Gakenke,Land Registration Portal,Ministry of Health,4769,91.3,2024,March
Huye,Digital Health Records,Rwanda Revenue Authority,3424,75.45,2022,August
Rusizi,Land Registration Portal,Ministry of ICT,3328,56.1,2021,February
Kicukiro,E-Visa Service,Ministry of ICT,2447,75.45,2024,April
Nyamagabe,eTax Portal,National Land Authority,2172,68.6,2024,July
Gasabo,Irembo Services,Ministry of Health,2447,79.9,2021,February
Nyanza,Online Business Registration,Rwanda Revenue Authority,2447,88.3,2024,December
Burera,Digital Health Records,National Land Authority,2447,96.7,2022,December
Huye,Land Registration Portal,Immigration Department,1408,75.45,2023,February
Bugesera,Irembo Services,Ministry of Health,2532,75.45,2022,February
Nyamagabe,Irembo Services,Ministry of ICT,2447,58.9,2021,June
Nyarugenge,Online Business Registration,Ministry of Health,2447,75.45,2021,June
Karongi,eTax Portal,Ministry of Health,2447,87.4,2024,May
Karongi,Online Business Registration,Immigration Department,4687,75.45,2022,March
Musanze,Online Business Registration,Rwanda Revenue Authority,3227,75.45,2022,July
Ngoma,eTax Portal,Rwanda Revenue Authority,2178,75.45,2021,July
Nyanza,eTax Portal,Rwanda Revenue Authority,2447,58.3,2022,Unknown
Ngoma,eTax Portal,National Land Authority,2447,75.45,2021,July
Nyamagabe,Irembo Services,Rwanda Revenue Authority,2447,75.45,2022,Unknown
Karongi,Irembo Services,National Land Authority,2447,75.9,2022,March
Gakenke,Digital Health Records,Immigration Department,3081,89.1,2022,November
Ngoma,E-Visa Service,Ministry of Health,2447,75.45,2021,November
Burera,Digital Health Records,National Land Authority,2447,61.3,2024,March
Rubavu,Online Business Registration,Immigration Department,3868,92.1,2022,February
Huye,Online Business Registration,National Land Authority,3873,74,2021,September
Nyamagabe,Digital Health Records,Immigration Department,1956,72.9,2021,October
Gakenke,Land Registration Portal,Rwanda Revenue Authority,810,75.45,2022,January
Rwamagana,E-Visa Service,Rwanda Revenue Authority,2447,54,2022,October
Ngoma,Online Business Registration,Immigration Department,2447,95.2,2024,November
Gakenke,Land Registration Portal,Ministry of ICT,2447,71.8,2021,March
Burera,Land Registration Portal,Immigration Department,330,50.4,2021,August
Gasabo,E-Visa Service,National Land Authority,1937,75.45,2023,June
Ngoma,eTax Portal,Immigration Department,716,56.6,2021,December
Ngoma,Irembo Services,Ministry of Health,2447,75.45,2024,April
Huye,Digital Health Records,Ministry of ICT,2447,73.6,2023,November
Nyamagabe,E-Visa Service,Immigration Department,3172,75.45,2023,December
Karongi,Irembo Services,Ministry of ICT,2447,75.45,2023,March
Rulindo,Digital Health Records,Ministry of ICT,2447,63.1,2022,July
Rulindo,Irembo Services,Immigration Department,2447,75.45,2022,October
Rulindo,Digital Health Records,Immigration Department,2447,75.45,2021,November
Huye,Irembo Services,Rwanda Revenue Authority,2447,68.6,2023,August
Nyanza,eTax Portal,Immigration Department,1803,72.5,2024,Unknown
Kayonza,Land Registration Portal,Immigration Department,2346,63.4,2022,April
Rwamagana,Digital Health Records,Rwanda Revenue Authority,2311,75.45,2024,February
Nyarugenge,Land Registration Portal,Rwanda Revenue Authority,4252,75.45,2024,February
Ngoma,Digital Health Records,Ministry of Health,4193,95.3,2022,March
Nyanza,E-Visa Service,Immigration Department,2447,75.45,2022,August
Karongi,E-Visa Service,National Land Authority,2105,70.6,2022,February
Nyarugenge,Digital Health Records,Ministry of ICT,2447,54.3,2022,October
Nyagatare,eTax Portal,Rwanda Revenue Authority,2816,75.45,2023,December
Ngoma,Irembo Services,Immigration Department,2447,75.45,2023,July
Nyagatare,Digital Health Records,National Land Authority,2447,78,2023,June
Huye,Irembo Services,Ministry of ICT,2447,75.45,2023,July
Rubavu,eTax Portal,Immigration Department,2447,75.45,2021,June
Gasabo,Online Business Registration,National Land Authority,2447,81.2,2023,March
Kicukiro,Land Registration Portal,Ministry of ICT,4671,75.45,2022,March
Nyagatare,Digital Health Records,National Land Authority,1696,57.2,2024,April
Kayonza,E-Visa Service,Rwanda Revenue Authority,2847,75.45,2023,May
Nyarugenge,eTax Portal,Immigration Department,1581,66.9,2021,November
Rulindo,Irembo Services,National Land Authority,2447,75.45,2022,February
Nyamagabe,Digital Health Records,National Land Authority,1956,98.4,2024,April
Huye,Irembo Services,Immigration Department,2447,75.45,2024,September
Gakenke,Online Business Registration,Ministry of ICT,763,86,2023,October
Kayonza,Digital Health Records,Immigration Department,2026,62.5,2024,October
Gakenke,Land Registration Portal,National Land Authority,2447,84.2,2023,December
Nyagatare,Digital Health Records,Ministry of Health,4682,76.2,2023,October
Rubavu,Land Registration Portal,Ministry of ICT,2447,75.45,2022,May
Gasabo,Irembo Services,National Land Authority,2447,86.1,2022,March
Musanze,Digital Health Records,Ministry of Health,116,89.6,2021,December
Nyamagabe,eTax Portal,Ministry of ICT,2447,75.45,2022,January
Nyagatare,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2022,Unknown
Rwamagana,eTax Portal,Immigration Department,2447,74.2,2023,Unknown
Nyanza,Online Business Registration,Ministry of ICT,2447,75.45,2022,November
Rulindo,eTax Portal,Ministry of ICT,4057,75.45,2023,May
Kicukiro,Online Business Registration,National Land Authority,2522,75.45,2023,April
Burera,Irembo Services,Ministry of Health,2447,70.6,2022,September
Nyagatare,Land Registration Portal,Ministry of ICT,1811,75.45,2021,October
Musanze,E-Visa Service,Immigration Department,2025,75.45,2021,September
Rulindo,Irembo Services,Ministry of ICT,2447,55.6,2024,April
Rubavu,Land Registration Portal,Ministry of ICT,3862,75.45,2024,December
Rulindo,Land Registration Portal,National Land Authority,1362,89.7,2022,July
Nyanza,Online Business Registration,Ministry of ICT,2759,60.1,2021,May
Burera,eTax Portal,Ministry of Health,2447,75.45,2023,November
Karongi,eTax Portal,National Land Authority,2447,75.45,2024,January
Rulindo,E-Visa Service,Rwanda Revenue Authority,2447,87.7,2023,January
Nyanza,E-Visa Service,Rwanda Revenue Authority,2447,60.2,2024,August
Nyamagabe,Online Business Registration,National Land Authority,3785,75.45,2022,April
Burera,Online Business Registration,Ministry of Health,1210,93.5,2021,August
Rulindo,Irembo Services,National Land Authority,292,75.45,2024,July
Rwamagana,Online Business Registration,National Land Authority,1113,75.45,2021,February
Kayonza,eTax Portal,National Land Authority,2447,75.45,2023,April
Rulindo,Online Business Registration,National Land Authority,2447,75.45,2022,August
Rusizi,Online Business Registration,Ministry of ICT,2447,75.45,2021,November
Nyagatare,Land Registration Portal,Immigration Department,2447,75.45,2022,October
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,89.9,2021,February
Nyanza,E-Visa Service,Ministry of Health,2447,82.8,2023,September
Kayonza,Irembo Services,Ministry of ICT,2447,69.9,2023,January
Nyagatare,Online Business Registration,Rwanda Revenue Authority,4339,88.8,2022,June
Rusizi,E-Visa Service,Immigration Department,2447,75.45,2023,June
Rulindo,Digital Health Records,National Land Authority,2447,75.45,2024,March
Nyarugenge,Digital Health Records,Immigration Department,2447,67.8,2021,July
Ngoma,Land Registration Portal,Rwanda Revenue Authority,2447,78.9,2023,Unknown
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,2447,65.6,2024,Unknown
Rusizi,Digital Health Records,Ministry of ICT,4704,75.45,2022,October
Karongi,E-Visa Service,Ministry of ICT,2447,75.45,2024,July
Karongi,Land Registration Portal,Ministry of Health,1623,75.45,2022,June
Burera,E-Visa Service,National Land Authority,1967,75.45,2022,September
Nyarugenge,E-Visa Service,Immigration Department,2076,65.8,2021,November
Rubavu,Land Registration Portal,National Land Authority,2447,68.2,2021,March
Rubavu,eTax Portal,Immigration Department,2447,75.45,2024,February
Nyagatare,E-Visa Service,National Land Authority,59,75.45,2021,August
Gakenke,eTax Portal,Rwanda Revenue Authority,2447,75.45,2021,Unknown
Rubavu,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2021,February
Huye,Digital Health Records,National Land Authority,2447,82.7,2024,January
Nyarugenge,Irembo Services,Ministry of Health,370,75.45,2023,October
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,2426,75.45,2021,February
Nyamagabe,Digital Health Records,Ministry of Health,2874,92.8,2021,January
Karongi,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2024,May
Burera,eTax Portal,Ministry of ICT,2088,66,2023,April
Rulindo,eTax Portal,Ministry of ICT,3727,70.9,2021,January
Nyamagabe,Land Registration Portal,National Land Authority,2447,75.45,2022,January
Kicukiro,Irembo Services,Immigration Department,2447,75.45,2024,February
Huye,eTax Portal,Ministry of ICT,2447,75.45,2021,July
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,2447,71.4,2021,September
Gakenke,Irembo Services,Rwanda Revenue Authority,3580,56.5,2022,May
Gasabo,eTax Portal,Ministry of ICT,2685,78,2022,November
Gakenke,Digital Health Records,Ministry of ICT,1620,75.45,2024,December
Kayonza,Digital Health Records,Immigration Department,2447,75.45,2024,September
Gasabo,Irembo Services,Ministry of ICT,2447,69,2022,March
Bugesera,Irembo Services,National Land Authority,3900,59.4,2024,July
Ngoma,eTax Portal,Immigration Department,2447,75.45,2022,July
Gakenke,eTax Portal,Ministry of ICT,1364,77,2021,December
Nyamagabe,Irembo Services,Rwanda Revenue Authority,2948,88,2022,July
Burera,E-Visa Service,Ministry of ICT,2447,73.6,2022,February
Burera,Irembo Services,National Land Authority,2447,82.6,2023,November
Nyagatare,Land Registration Portal,National Land Authority,650,75.45,2022,September
Kayonza,Land Registration Portal,Rwanda Revenue Authority,1115,75.45,2022,September
Nyagatare,Land Registration Portal,Immigration Department,2447,75.45,2023,October
Rusizi,Digital Health Records,Rwanda Revenue Authority,1913,75.45,2024,March
Nyamagabe,Digital Health Records,Ministry of ICT,2447,75.45,2023,May
Kayonza,Land Registration Portal,Rwanda Revenue Authority,3812,86,2021,February
Gasabo,Land Registration Portal,Immigration Department,4720,57.1,2023,May
Gakenke,E-Visa Service,Ministry of Health,1042,75.45,2021,February
Karongi,Irembo Services,Rwanda Revenue Authority,2242,87.4,2024,September
Gakenke,Digital Health Records,Immigration Department,3104,75.45,2023,April
Rwamagana,Land Registration Portal,Ministry of Health,2447,67.6,2023,February
Rulindo,E-Visa Service,Immigration Department,2447,75.45,2024,March
Rubavu,Online Business Registration,Immigration Department,2201,99,2021,September
Burera,eTax Portal,Ministry of Health,3160,51.6,2023,June
Gasabo,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2021,July
Gakenke,Digital Health Records,Ministry of Health,2676,75.45,2023,October
Gasabo,Land Registration Portal,Rwanda Revenue Authority,2447,53.5,2022,November
Nyarugenge,Online Business Registration,Immigration Department,2447,75.45,2023,July
Nyamagabe,Irembo Services,Rwanda Revenue Authority,1304,75.45,2024,Unknown
Rubavu,Digital Health Records,National Land Authority,469,75.45,2024,November
Rulindo,Irembo Services,Ministry of Health,2647,75.45,2021,November
Rwamagana,eTax Portal,Ministry of Health,1170,93.3,2023,November
Kicukiro,E-Visa Service,Ministry of ICT,1000,65.3,2021,February
Rusizi,Irembo Services,Immigration Department,2447,53.4,2021,May
Gakenke,Land Registration Portal,Immigration Department,2447,75.45,2022,December
Karongi,E-Visa Service,Rwanda Revenue Authority,4662,75.45,2022,July
Huye,Online Business Registration,National Land Authority,1915,93.6,2024,December
Rulindo,Irembo Services,Immigration Department,2903,75.45,2021,Unknown
Karongi,Online Business Registration,National Land Authority,2447,75.45,2024,April
Karongi,E-Visa Service,Ministry of ICT,2447,75.45,2023,January
Gakenke,Digital Health Records,Ministry of Health,3278,83.5,2021,April
Rusizi,Digital Health Records,National Land Authority,2447,75.45,2021,February
Nyamagabe,Land Registration Portal,Immigration Department,2447,75.45,2023,July
Rusizi,Land Registration Portal,Ministry of Health,144,61.3,2023,February
Nyarugenge,Land Registration Portal,National Land Authority,2447,77.3,2024,August
Kayonza,Online Business Registration,National Land Authority,843,70.6,2024,October
Gasabo,eTax Portal,Rwanda Revenue Authority,2447,75.45,2023,October
Burera,eTax Portal,Ministry of Health,2447,75.45,2024,January
Kicukiro,eTax Portal,National Land Authority,2447,75.45,2023,May
Bugesera,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2021,November
Nyagatare,Digital Health Records,Immigration Department,2447,92.9,2021,December
Nyarugenge,eTax Portal,National Land Authority,2399,98.6,2022,November
Kicukiro,E-Visa Service,Rwanda Revenue Authority,2447,87.7,2021,December
Gasabo,Land Registration Portal,Rwanda Revenue Authority,2447,92,2023,March
Nyagatare,Irembo Services,Ministry of Health,2447,98.1,2024,February
Huye,E-Visa Service,Rwanda Revenue Authority,1034,75.45,2022,January
Gasabo,E-Visa Service,National Land Authority,2447,75.45,2024,December
Rubavu,eTax Portal,Ministry of ICT,2447,75.45,2023,March
Nyagatare,Irembo Services,Immigration Department,2447,75.45,2021,December
Rubavu,eTax Portal,National Land Authority,2985,75.45,2022,January
Kayonza,Irembo Services,National Land Authority,2447,75.45,2023,March
Musanze,Land Registration Portal,Immigration Department,2447,52.3,2022,August
Huye,E-Visa Service,Immigration Department,3499,73.4,2022,June
Rulindo,Digital Health Records,Rwanda Revenue Authority,4196,91.2,2021,September
Rusizi,eTax Portal,National Land Authority,2447,64.9,2023,September
Bugesera,eTax Portal,Rwanda Revenue Authority,2447,86.5,2024,January
Rwamagana,E-Visa Service,Ministry of Health,2447,75.45,2022,Unknown
Musanze,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2022,December
Rwamagana,Land Registration Portal,Ministry of Health,2447,75.45,2024,May
Ngoma,Online Business Registration,Ministry of ICT,1255,75.45,2023,March
Musanze,eTax Portal,National Land Authority,2922,59.3,2022,June
Gasabo,Irembo Services,Ministry of Health,2447,75.45,2022,March
Ngoma,Land Registration Portal,Ministry of ICT,4712,75.45,2022,December
Gakenke,E-Visa Service,Immigration Department,2758,71.5,2023,Unknown
Gakenke,Online Business Registration,Rwanda Revenue Authority,1382,75.45,2023,Unknown
Huye,eTax Portal,Ministry of ICT,2447,78.7,2024,May
Nyarugenge,eTax Portal,Ministry of Health,2447,75.45,2023,December
Nyagatare,E-Visa Service,National Land Authority,2447,75.45,2023,February
Musanze,E-Visa Service,Immigration Department,2447,55.7,2021,August
Ngoma,E-Visa Service,Immigration Department,2447,76.3,2024,January
Musanze,Digital Health Records,Ministry of ICT,435,83.5,2022,June
Kicukiro,Online Business Registration,Ministry of ICT,3331,75.45,2023,Unknown
Bugesera,Land Registration Portal,Rwanda Revenue Authority,467,78.6,2022,July
Burera,E-Visa Service,Immigration Department,2447,75.45,2022,May
Nyamagabe,Irembo Services,Immigration Department,2447,75.45,2021,September
Bugesera,eTax Portal,Rwanda Revenue Authority,4908,73.2,2023,February
Nyarugenge,Land Registration Portal,National Land Authority,2447,75.45,2024,May
Nyanza,Digital Health Records,Rwanda Revenue Authority,4170,75.45,2023,December
Karongi,E-Visa Service,Ministry of Health,4855,80.4,2022,October
Gasabo,eTax Portal,Ministry of Health,4430,72.3,2024,November
Nyamagabe,Online Business Registration,Ministry of ICT,2447,75.45,2023,February
Kayonza,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2022,August
Musanze,E-Visa Service,Rwanda Revenue Authority,3170,75.45,2022,August
Nyamagabe,E-Visa Service,Ministry of ICT,2447,89.3,2021,September
Bugesera,E-Visa Service,National Land Authority,3482,75.45,2021,June
Rulindo,Land Registration Portal,Rwanda Revenue Authority,2447,63.6,2021,January
Rubavu,Irembo Services,Immigration Department,2447,87.2,2022,August
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2023,Unknown
Rwamagana,E-Visa Service,National Land Authority,4472,53.5,2021,October
Nyanza,Digital Health Records,Rwanda Revenue Authority,1809,50.1,2023,March
Rusizi,Land Registration Portal,Immigration Department,1039,75.45,2021,June
Burera,eTax Portal,Ministry of Health,2532,95.4,2024,March
Kayonza,Irembo Services,Ministry of Health,1001,63.8,2024,May
Rulindo,eTax Portal,National Land Authority,2447,72.5,2021,January
Nyamagabe,eTax Portal,National Land Authority,2767,75.45,2022,February
Rusizi,Online Business Registration,Immigration Department,3426,75.45,2021,October
Karongi,Online Business Registration,Ministry of Health,2447,75.45,2021,November
Nyagatare,eTax Portal,Ministry of Health,3545,79.5,2022,December
Nyarugenge,Digital Health Records,Ministry of Health,2115,75.45,2024,February
Rusizi,Online Business Registration,Ministry of Health,2447,75.45,2023,April
Rulindo,Online Business Registration,Immigration Department,2447,75.45,2021,December
Nyagatare,Online Business Registration,National Land Authority,996,64.2,2022,September
Rulindo,Online Business Registration,National Land Authority,3385,90.1,2021,January
Gakenke,Irembo Services,Ministry of ICT,4200,75.45,2022,January
Karongi,eTax Portal,National Land Authority,2447,75.45,2023,Unknown
Gasabo,Irembo Services,Ministry of Health,1531,75.45,2023,Unknown
Kayonza,Land Registration Portal,Rwanda Revenue Authority,2447,54.4,2024,January
Karongi,Land Registration Portal,Ministry of Health,3501,90.9,2022,April
Rwamagana,E-Visa Service,Ministry of Health,2447,67.3,2022,January
Kayonza,Land Registration Portal,National Land Authority,2447,78.7,2024,August
Huye,Irembo Services,Ministry of ICT,3512,74.7,2024,June
Bugesera,E-Visa Service,Immigration Department,3129,52.2,2022,July
Rusizi,eTax Portal,Rwanda Revenue Authority,4458,75.45,2024,March
Karongi,Land Registration Portal,Rwanda Revenue Authority,2540,75.45,2023,March
Rusizi,Online Business Registration,Ministry of ICT,2447,75.45,2021,Unknown
Rusizi,Land Registration Portal,Ministry of Health,3360,94.1,2023,January
Burera,Digital Health Records,Immigration Department,3725,75.45,2024,September
Gasabo,Online Business Registration,Immigration Department,2447,83.7,2022,March
Nyanza,Online Business Registration,Immigration Department,2447,91.2,2022,December
Huye,Online Business Registration,National Land Authority,2447,97.7,2023,December
Nyarugenge,E-Visa Service,Ministry of Health,2447,50.1,2022,November
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2024,July
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,2447,62.9,2023,April
Kayonza,E-Visa Service,Ministry of Health,4475,75.45,2022,June
Burera,Digital Health Records,Rwanda Revenue Authority,2248,75.45,2021,April
Nyagatare,Irembo Services,National Land Authority,2447,83.3,2021,July
Kayonza,Digital Health Records,Immigration Department,3502,75.45,2024,December
Kayonza,eTax Portal,Rwanda Revenue Authority,2447,54.6,2022,June
Rulindo,E-Visa Service,National Land Authority,2447,75.45,2024,May
Gasabo,E-Visa Service,Immigration Department,1970,75.45,2023,Unknown
Nyarugenge,Online Business Registration,Ministry of Health,2447,54,2021,February
Ngoma,Digital Health Records,Ministry of Health,1459,75.45,2023,October
Nyagatare,Land Registration Portal,National Land Authority,4616,83.4,2022,June
Gakenke,eTax Portal,National Land Authority,2447,82.3,2024,February
Nyagatare,E-Visa Service,National Land Authority,2447,75.45,2024,September
Ngoma,Digital Health Records,Rwanda Revenue Authority,2447,75.1,2024,November
Bugesera,Online Business Registration,Ministry of Health,2447,95.7,2023,January
Kayonza,Land Registration Portal,Rwanda Revenue Authority,2447,57.7,2021,March
Burera,Online Business Registration,Rwanda Revenue Authority,2447,86.2,2023,April
Nyanza,eTax Portal,Immigration Department,2729,87,2023,August
Bugesera,Digital Health Records,National Land Authority,2447,75.45,2022,September
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2022,January
Burera,eTax Portal,Immigration Department,3236,75.45,2022,July
Karongi,E-Visa Service,Ministry of ICT,2623,76.6,2021,February
Bugesera,Land Registration Portal,Immigration Department,2447,74.3,2021,August
Rulindo,Digital Health Records,Ministry of ICT,286,70,2022,Unknown
Rusizi,Digital Health Records,Ministry of ICT,3480,56.2,2022,May
Ngoma,eTax Portal,Ministry of ICT,1351,60.8,2021,July
Rusizi,Digital Health Records,Ministry of ICT,2447,86.5,2024,Unknown
Nyagatare,Land Registration Portal,National Land Authority,491,53.4,2021,May
Musanze,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2021,June
Huye,Digital Health Records,Rwanda Revenue Authority,3848,70.2,2021,February
Karongi,Online Business Registration,Ministry of ICT,2447,63.8,2022,September
Musanze,Online Business Registration,Rwanda Revenue Authority,2225,75.45,2024,August
Burera,Land Registration Portal,Ministry of ICT,2447,75.45,2021,January
Rwamagana,Online Business Registration,Rwanda Revenue Authority,2447,69.2,2022,June
Huye,eTax Portal,Immigration Department,2131,92.9,2023,April
Huye,Irembo Services,National Land Authority,4733,88,2023,May
Kayonza,E-Visa Service,Ministry of Health,391,75.45,2021,October
Rusizi,Digital Health Records,Ministry of ICT,2124,50.6,2023,February
Nyanza,eTax Portal,Immigration Department,695,75.45,2024,May
Ngoma,Land Registration Portal,Immigration Department,2447,75.45,2023,December
Musanze,Irembo Services,National Land Authority,2447,75.45,2023,October
Huye,E-Visa Service,National Land Authority,1758,58.3,2024,April
Ngoma,Land Registration Portal,Ministry of ICT,3019,75.45,2021,August
Nyagatare,Irembo Services,Ministry of ICT,2447,88.1,2021,June
Bugesera,eTax Portal,Immigration Department,2447,57.7,2024,October
Rwamagana,Irembo Services,Immigration Department,2447,75.45,2024,August
Ngoma,Online Business Registration,National Land Authority,1436,81.8,2024,July
Gasabo,eTax Portal,Ministry of ICT,2916,69.3,2023,March
Burera,Digital Health Records,Ministry of ICT,3413,70.5,2024,April
Rubavu,Land Registration Portal,Immigration Department,4939,75.45,2022,December
Rusizi,Online Business Registration,Ministry of Health,198,75.45,2023,September
Kicukiro,Digital Health Records,Immigration Department,2447,75.45,2021,February
Kicukiro,Irembo Services,Ministry of Health,1186,99.4,2021,February
Burera,Online Business Registration,Ministry of ICT,2447,55.3,2021,April
Ngoma,Digital Health Records,Immigration Department,2447,57,2023,March
Rubavu,eTax Portal,National Land Authority,4243,75.45,2022,January
Kayonza,Irembo Services,Rwanda Revenue Authority,2447,75.3,2024,July
Musanze,Digital Health Records,Ministry of ICT,4551,75.45,2024,January
Gasabo,Irembo Services,Ministry of ICT,2447,75.45,2021,April
Ngoma,Digital Health Records,Immigration Department,2447,96.3,2021,September
Kayonza,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2023,June
Kayonza,eTax Portal,Rwanda Revenue Authority,2447,65.7,2022,November
Rulindo,Online Business Registration,Rwanda Revenue Authority,4510,75.45,2024,Unknown
Karongi,Digital Health Records,Immigration Department,531,75.45,2023,December
Rwamagana,Irembo Services,Immigration Department,2447,75.45,2024,January
Kicukiro,eTax Portal,Ministry of Health,1574,68.7,2021,June
Rusizi,Online Business Registration,Ministry of Health,2393,75.45,2024,January
Kayonza,Irembo Services,Ministry of Health,1290,99.7,2022,June
Musanze,eTax Portal,National Land Authority,2447,99.2,2022,November
Nyarugenge,Irembo Services,Ministry of ICT,4170,75.45,2021,July
Gakenke,E-Visa Service,Ministry of Health,2447,69.5,2022,Unknown
Kayonza,E-Visa Service,National Land Authority,2447,75.45,2022,December
Nyarugenge,eTax Portal,National Land Authority,221,77.1,2023,December
Kicukiro,Online Business Registration,Immigration Department,2447,73.9,2024,May
Rubavu,Online Business Registration,Rwanda Revenue Authority,2372,75.45,2021,February
Rubavu,Irembo Services,Rwanda Revenue Authority,3165,62.3,2021,April
Ngoma,eTax Portal,Ministry of Health,4140,75.45,2021,September
Nyarugenge,Digital Health Records,Ministry of ICT,3054,91.3,2021,April
Nyagatare,E-Visa Service,Ministry of ICT,379,59.7,2021,July
Musanze,Online Business Registration,Ministry of ICT,3944,75.4,2022,August
Burera,E-Visa Service,National Land Authority,2447,75.45,2023,January
Nyamagabe,Digital Health Records,National Land Authority,2447,75.45,2021,March
Nyagatare,Digital Health Records,National Land Authority,2447,75.45,2023,December
Nyanza,Land Registration Portal,Immigration Department,4112,79.1,2023,May
Gakenke,Irembo Services,National Land Authority,3202,72.2,2022,February
Rulindo,Irembo Services,Ministry of ICT,2447,75.45,2021,January
Rulindo,Irembo Services,Ministry of ICT,2447,70.1,2022,April
Ngoma,eTax Portal,Rwanda Revenue Authority,3776,75.45,2021,Unknown
Nyamagabe,Online Business Registration,Ministry of ICT,4043,81.2,2022,September
Ngoma,Online Business Registration,National Land Authority,2447,89.6,2023,July
Kicukiro,Land Registration Portal,National Land Authority,2447,60.1,2021,December
Musanze,E-Visa Service,Ministry of Health,4856,57.4,2024,June
Huye,Land Registration Portal,Immigration Department,2447,75.45,2023,August
Huye,Land Registration Portal,Ministry of ICT,2447,95.3,2024,December
Rusizi,Digital Health Records,Immigration Department,2447,98.2,2023,February
Nyarugenge,Irembo Services,Ministry of ICT,4480,75.45,2022,October
Rwamagana,eTax Portal,Rwanda Revenue Authority,4282,75.45,2021,February
Nyagatare,Online Business Registration,Rwanda Revenue Authority,1571,75.45,2023,September
Rwamagana,eTax Portal,Immigration Department,4872,75.45,2022,March
Burera,Irembo Services,National Land Authority,2447,75.45,2021,November
Nyarugenge,Irembo Services,Ministry of Health,2469,75.45,2021,Unknown
Rwamagana,Online Business Registration,Ministry of ICT,2447,75.45,2023,July
Gasabo,Digital Health Records,Ministry of ICT,2447,57.4,2021,February
Nyamagabe,E-Visa Service,Ministry of Health,664,75.45,2023,October
Rulindo,Land Registration Portal,Immigration Department,2447,75.45,2021,October
Kayonza,Digital Health Records,Immigration Department,2447,74.6,2024,January
Ngoma,Irembo Services,Ministry of ICT,180,75.45,2022,July
Kicukiro,Irembo Services,Rwanda Revenue Authority,2447,75.45,2024,November
Nyagatare,Digital Health Records,Ministry of Health,4328,88.1,2023,March
Ngoma,Land Registration Portal,Ministry of ICT,4509,75.45,2024,April
Ngoma,Land Registration Portal,Rwanda Revenue Authority,4009,75.45,2023,May
Rulindo,Irembo Services,Immigration Department,3637,86.3,2021,May
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,970,75.45,2021,Unknown
Nyagatare,Land Registration Portal,National Land Authority,2819,72.2,2023,June
Rusizi,Land Registration Portal,Ministry of ICT,4161,75.45,2024,February
Huye,Online Business Registration,Ministry of Health,2447,90.3,2021,July
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,3571,60,2022,December
Musanze,Online Business Registration,Immigration Department,2447,53,2021,Unknown
Burera,eTax Portal,Rwanda Revenue Authority,2447,72,2022,December
Nyagatare,Digital Health Records,Immigration Department,4396,75.45,2024,June
Rubavu,Irembo Services,National Land Authority,1854,75.45,2022,June
Rusizi,Land Registration Portal,Immigration Department,3860,62.8,2022,August
Rubavu,eTax Portal,Ministry of Health,2447,75.45,2022,May
Nyarugenge,Online Business Registration,National Land Authority,2447,61,2022,April
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,2082,75.45,2021,February
Rwamagana,Digital Health Records,Ministry of ICT,4463,75.45,2022,April
Ngoma,Online Business Registration,Immigration Department,4893,75.45,2021,March
Ngoma,E-Visa Service,Ministry of Health,2447,75.45,2022,July
Rulindo,E-Visa Service,Ministry of ICT,1821,75.45,2023,January
Musanze,Irembo Services,Ministry of ICT,2447,91,2024,October
Rulindo,Land Registration Portal,National Land Authority,970,75.45,2022,February
Ngoma,eTax Portal,Rwanda Revenue Authority,2447,75.45,2023,March
